,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,20.767373707577683,7.163010124359003,21.136303121987503,19.375933814645467,0.0003672738291489175
1,1,20.778694044834694,5.985705188016485,20.712802641254832,19.529073545953043,0.0004849622799381059
2,2,20.92038870854215,10.361604830346689,20.770877535262,19.063968907957925,0.0002800663427611205
3,3,20.664397611587177,10.501348631563145,21.088603044339123,19.344706886091096,0.00019907213775072208
4,4,20.799559322614364,6.545224486764212,21.120776150932524,19.34603812109758,0.002912170088546606
5,5,20.64626644789443,7.178036990316496,21.143320437932616,18.436119697080507,0.001360372679649391
6,6,20.769531519882495,7.691038745325114,21.152484024045393,19.289129043448774,8.293055392316617e-05
7,7,20.72036835152177,6.124266722623847,21.18723995206154,18.710938921476068,0.0007469024796731283
8,8,20.673332882609923,8.29665266490357,21.133633757777904,19.231403146232786,0.00022821391155547488
9,9,20.824361476896616,5.261736576407788,21.232374323858778,18.96140282148654,0.00020899600607338087
10,10,20.63100813609957,6.771144717242631,21.211584348796716,18.521082043434742,0.00021471385267846088
11,11,20.733381390275735,6.551654840284105,21.029367467701338,18.633280351159655,0.004410321180533305
12,12,20.404600079759266,5.095384861560937,20.929073955714255,19.014486748924035,0.0023893874953384575
13,13,20.83108492664097,7.0557464535313645,21.190239817921736,18.973298807502747,0.007123573055942689
14,14,20.65399702214876,8.092370298123244,21.009768174402353,18.446500091150376,0.008908023147558897
15,15,20.681995652674498,7.606316414538693,21.277827384958776,18.94344018147756,0.0011194308431936584
16,16,20.581763075249125,6.591158943676646,21.295675545461016,19.088110122115598,0.00016035163634997573
17,17,20.737715053590502,4.813573222271568,21.123928082438898,19.124938449129825,0.011537092189215503
18,18,20.756201006787776,5.957789606294032,21.043206724894524,19.206992124110357,0.0010053496480861845
19,19,20.715068740116223,6.979166161319219,21.050094548237535,19.52537795387295,0.0013453139220982457
20,20,20.715834887977326,6.263046477016513,20.878449192830647,19.305718988248195,0.0004646555762346516
21,21,20.70729249633549,9.096934280522317,21.225884058763775,19.505511771373143,0.001926160249109632
22,22,20.84968897455147,5.87942905602322,21.26444239595499,19.10196937469324,13.720425441740625
23,23,20.88723836639573,8.874107209761243,20.94699807875988,19.134800221809833,0.0182169721709049
24,24,20.752463181910816,8.79384957721591,21.209139708215087,18.958932604650553,0.0045659542102609585
25,25,20.803690210340225,9.252041105400844,21.077969330411978,19.112948196686038,0.007571535104471838
26,26,20.818119081249613,7.178719335707674,21.171206578853333,19.170769212146507,0.0021157494820589484
27,27,20.85232258012491,9.104062076682698,21.226410501960398,18.826047499296873,0.004289685034600144
28,28,20.778299839830222,7.520461379190271,21.058510782560212,19.38990737148681,0.0013843517161657992
29,29,20.6347769155884,9.654605965575241,21.133364817547907,18.811849363322334,7.359142500407145e-05
