,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,283.54560220172056,5.496615379287263,197.69453740237947,2.3046077088288226,2.270191082127465
1,1,-1.0,1.5060236934374391,277.70504078079836,1.6238298838228,2.213721441042935
2,2,-1.0,3.3122881958915276,232.51453315936743,3.930883443954999,2.616584027331653
3,3,335.6180087687221,5.93556675504525,268.71402814220687,3.238675395453258,1.9361647529577448
4,4,361.3197171411436,1.6506470763432672,199.7989717388515,2.976425990016189,2.369611706820425
5,5,-1.0,2.2279176027521257,272.527357096546,5.558083466321714,2.076857644029047
6,6,370.5726916303938,4.865661294959413,155.32231991459398,1.9069535532269934,2.5548204499703435
7,7,311.2513131141675,1.805598730002907,190.48258193977713,10.239354339929466,2.5246901225587597
8,8,358.41779152927757,7.706603932159607,180.1986198545112,2.940797664418751,2.755388579753017
9,9,-1.0,3.6833273083643334,212.1112827344438,2.1499662969592825,2.560647015454559
10,10,375.73772378631685,3.106619341829789,228.63756960820965,3.1695258094084418,2.4111962081491582
11,11,302.465995967098,1.8654428944094557,217.7570780093034,4.649540047171289,2.4932812981034314
12,12,-1.0,1.3439832281493884,211.51474817947917,4.019041039802609,2.7420130976004984
13,13,347.07015120697446,3.147151121990166,200.9851927549197,2.966355662108037,2.5746489480868116
14,14,389.23801702503505,4.036488035950303,200.6515204123488,2.8870892535962756,2.413009646819455
15,15,323.6732034011928,1.4068932281264261,229.84597168297591,2.096045155527087,2.4084909695505745
16,16,338.4878665507231,3.4433254578076973,163.61342356591436,2.313644929211393,2.5800355730391376
17,17,255.2038090121547,4.499131467049551,199.43076160703836,1.8777880714675719,2.503344029545828
18,18,334.76576429688,1.9265724348493931,192.93511229451778,3.643313886282187,2.3142886402949463
19,19,294.5080722493685,2.4551492792548486,220.37717077049703,3.381411086691389,2.1888885838044017
20,20,307.2381405199951,1.2446413688406304,196.71340366853838,2.064144356450381,2.1756972763032296
21,21,-1.0,2.5041806204640875,218.887277063721,7.374898595605155,2.6580530017121
22,22,342.61801640733825,3.5136982980903957,171.153468746135,3.611725665921492,2.5490543015954317
23,23,-1.0,3.9722849197140784,195.05430515868963,3.905261019188955,2.655762666700755
24,24,-1.0,6.930549287228623,192.30331840159968,4.155733532047723,2.710841392989743
25,25,344.7442195847027,2.467682551013476,212.3627682612695,2.8812028249759463,2.603487712790466
26,26,-1.0,3.6854889161803874,204.96864993901355,2.882498990364098,2.747463947324834
27,27,311.86489358866584,4.609278113709756,254.98433227935794,2.5131783294026886,2.3531581106633292
28,28,-1.0,1.4955689307775026,223.1863467417101,4.307778042686183,2.281592045856276
29,29,-1.0,1.7914866406299508,221.60740295637498,6.9607412993923905,2.9994199812515308
